File,Run,runattr:configname,runattr:datetime,runattr:experiment,runattr:inifile,runattr:iterationvars,runattr:iterationvarsf,runattr:measurement,runattr:network,runattr:processid,runattr:repetition,runattr:replication,runattr:resultdir,runattr:runnumber,runattr:seedset,Module,Name,,
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[1].nic.mac1609_4,TotalLostPackets,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[1].nic.mac1609_4,DroppedPacketsInMac,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[1].nic.mac1609_4,TooLittleTime,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[1].nic.mac1609_4,TimesIntoBackoff,493,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[1].nic.mac1609_4,SlotsBackoff,751,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[1].nic.mac1609_4,NumInternalContention,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[1].nic.mac1609_4,totalBusyTime,1.234269,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[2].appl,Micro-cloud :2 failed,450,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[2].nic.phy80211p,busyTime,0.001116848,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[2].nic.mac1609_4,ReceivedUnicastPackets,0,NaN
