File,Run,runattr:configname,runattr:datetime,runattr:experiment,runattr:inifile,runattr:iterationvars,runattr:iterationvarsf,runattr:measurement,runattr:network,runattr:processid,runattr:repetition,runattr:replication,runattr:resultdir,runattr:runnumber,runattr:seedset,Module,Name,,
"General-.5,50,1-#0.sca",General-0-20190226-00:52:21-22679,General,20190226-00:52:21,General,omnetpp.ini,"$0=.5, $1=50, $2=1",".5,50,1-","$0=.5, $1=50, $2=1",PasubioSimulation.MCPasubioScenario,22679,0,#0,results,0,0,MCPasubioScenario.rsu[0].appl,generatedWSMs,0,NaN
"General-.5,50,1-#0.sca",General-0-20190226-00:52:21-22679,General,20190226-00:52:21,General,omnetpp.ini,"$0=.5, $1=50, $2=1",".5,50,1-","$0=.5, $1=50, $2=1",PasubioSimulation.MCPasubioScenario,22679,0,#0,results,0,0,MCPasubioScenario.rsu[0].appl,receivedWSMs,7074,NaN
"General-.5,50,1-#0.sca",General-0-20190226-00:52:21-22679,General,20190226-00:52:21,General,omnetpp.ini,"$0=.5, $1=50, $2=1",".5,50,1-","$0=.5, $1=50, $2=1",PasubioSimulation.MCPasubioScenario,22679,0,#0,results,0,0,MCPasubioScenario.rsu[0].appl,generatedBSMs,0,NaN
"General-.5,50,1-#0.sca",General-0-20190226-00:52:21-22679,General,20190226-00:52:21,General,omnetpp.ini,"$0=.5, $1=50, $2=1",".5,50,1-","$0=.5, $1=50, $2=1",PasubioSimulation.MCPasubioScenario,22679,0,#0,results,0,0,MCPasubioScenario.rsu[0].appl,receivedBSMs,0,NaN
"General-.5,50,1-#0.sca",General-0-20190226-00:52:21-22679,General,20190226-00:52:21,General,omnetpp.ini,"$0=.5, $1=50, $2=1",".5,50,1-","$0=.5, $1=50, $2=1",PasubioSimulation.MCPasubioScenario,22679,0,#0,results,0,0,MCPasubioScenario.rsu[0].appl,generatedWSAs,0,NaN
"General-.5,50,1-#0.sca",General-0-20190226-00:52:21-22679,General,20190226-00:52:21,General,omnetpp.ini,"$0=.5, $1=50, $2=1",".5,50,1-","$0=.5, $1=50, $2=1",PasubioSimulation.MCPasubioScenario,22679,0,#0,results,0,0,MCPasubioScenario.rsu[0].appl,receivedWSAs,0,NaN
"General-.5,50,1-#0.sca",General-0-20190226-00:52:21-22679,General,20190226-00:52:21,General,omnetpp.ini,"$0=.5, $1=50, $2=1",".5,50,1-","$0=.5, $1=50, $2=1",PasubioSimulation.MCPasubioScenario,22679,0,#0,results,0,0,MCPasubioScenario.rsu[0].nic.phy80211p,busyTime,0.0016411680000001,NaN
"General-.5,50,1-#0.sca",General-0-20190226-00:52:21-22679,General,20190226-00:52:21,General,omnetpp.ini,"$0=.5, $1=50, $2=1",".5,50,1-","$0=.5, $1=50, $2=1",PasubioSimulation.MCPasubioScenario,22679,0,#0,results,0,0,MCPasubioScenario.rsu[0].nic.mac1609_4,ReceivedUnicastPackets,0,NaN
"General-.5,50,1-#0.sca",General-0-20190226-00:52:21-22679,General,20190226-00:52:21,General,omnetpp.ini,"$0=.5, $1=50, $2=1",".5,50,1-","$0=.5, $1=50, $2=1",PasubioSimulation.MCPasubioScenario,22679,0,#0,results,0,0,MCPasubioScenario.rsu[0].nic.mac1609_4,ReceivedBroadcasts,7074,NaN
"General-.5,50,1-#0.sca",General-0-20190226-00:52:21-22679,General,20190226-00:52:21,General,omnetpp.ini,"$0=.5, $1=50, $2=1",".5,50,1-","$0=.5, $1=50, $2=1",PasubioSimulation.MCPasubioScenario,22679,0,#0,results,0,0,MCPasubioScenario.rsu[0].nic.mac1609_4,SentPackets,0,NaN
